,,UTCI,,IDEAM CI,,APP_TEMP,,DISTORTION,SILHOUETTE CF
n clusters,,abs dev,SD,abs dev,SD,abs dev,SD,,
,8,1.854,1.655,1.002,0.635,2.924,1.693,0.009,0.288
,9,2.452,3.049,1.814,2.923,2.472,2.585,0.029,0.152
,10,3.387,3.261,1.218,1.179,3.998,2.6,0.022,0.442
,11,2.38,2.304,1.369,0.941,3.917,2.509,0.016,0.25
,12,1.68,1.804,0.7,1.047,1.924,1.643,0.009,0.335
,13,1.589,1.51,0.898,0.634,2.489,1.712,0.007,0.257
,14,2.306,1.971,1.016,0.652,3.187,1.773,0.013,0.319
,15,1.431,1.656,0.651,0.839,1.964,1.631,0.008,0.19
,16,2.601,1.854,1.421,0.659,4.434,1.759,0.015,0.253
,means:,2.249,2.322,1.325,1.373,2.808,2.011,0.018,0.298
18
,0,2.375,2.672,0.858,1.54,2.429,2.185,0.014,0.336
,1,2.763,1.136,1.533,0.311,5.743,1.074,0.013,0.428
,2,1.761,1.783,0.761,0.616,2.383,1.733,0.009,0.206
,3,2.429,3.113,2.075,2.562,2.031,2.271,0.029,0.338
,4,1.564,1.91,1.456,1.693,1.902,1.95,0.02,0.355
,5,3.256,4.267,1.44,2.751,2.917,3.341,0.036,0.195
,6,1.046,1.173,0.542,0.479,1.619,1.201,0.006,0.308
,7,3.261,3.821,3.844,3.578,1.99,2.1,0.047,0.35
,8,1.851,1.537,1.103,0.569,3.216,1.558,0.009,0.236
,9,2.424,3.004,1.822,2.923,2.454,2.539,0.028,0.156
,10,3.272,3.174,1.183,1.138,3.868,2.536,0.022,0.444
,11,2.451,2.391,1.354,0.999,3.844,2.634,0.015,0.222
,12,1.593,1.699,0.674,0.865,1.875,1.574,0.009,0.36
,13,1.563,1.549,0.873,0.619,2.435,1.688,0.008,0.216
,14,2.148,1.857,0.944,0.625,2.902,1.637,0.011,0.274
,15,1.653,2.004,0.629,1.157,1.912,1.893,0.01,0.147
,16,2.415,1.667,1.577,0.49,4.888,1.59,0.017,0.341
,17,3.102,2.494,1.373,0.79,4.489,2.283,0.014,0.128
,means:,2.274,2.292,1.336,1.317,2.939,1.988,0.018,0.28
19
,0,2.266,2.532,0.839,1.424,2.358,2.079,0.014,0.349
,1,2.762,1.133,1.533,0.311,5.737,1.069,0.013,0.42
,2,1.735,1.741,0.751,0.557,2.359,1.693,0.009,0.215
,3,2.609,3.176,1.905,3.117,1.861,2.112,0.024,0.269
,4,1.6,1.977,1.458,1.73,1.9,1.954,0.02,0.344
,5,3.049,4.134,1.371,2.508,2.747,3.207,0.034,0.189
,6,1.051,1.178,0.543,0.479,1.626,1.208,0.006,0.311
,7,3.33,3.959,4.086,3.363,2.184,2.227,0.042,0.318
